data,var_x
2001-01-01,195.4
2001-02-01,146.1
2001-03-01,188.6
2001-04-01,61.2
2001-05-01,75.8
2001-06-01,21.5
2001-07-01,19.3
2001-08-01,32.6
2001-09-01,63.4
2001-10-01,114.6
2001-11-01,213.6
2001-12-01,274.8
2002-01-01,263.7
2002-02-01,231.0
2002-03-01,126.6
2002-04-01,34.9
2002-05-01,73.7
2002-06-01,7.1
2002-07-01,16.3
2002-08-01,31.1
2002-09-01,80.3
2002-10-01,77.9
2002-11-01,186.5
2002-12-01,255.8
2003-01-01,403.6
2003-02-01,138.0
2003-03-01,178.1
2003-04-01,84.0
2003-05-01,46.6
2003-06-01,13.0
2003-07-01,16.0
2003-08-01,31.2
2003-09-01,47.8
2003-10-01,117.5
2003-11-01,159.9
2003-12-01,197.9
2004-01-01,272.2
2004-02-01,277.7
2004-03-01,139.8
2004-04-01,111.4
2004-05-01,65.9
2004-06-01,28.9
2004-07-01,35.9
2004-08-01,5.9
2004-09-01,14.0
2004-10-01,110.4
2004-11-01,164.4
2004-12-01,276.9
2005-01-01,325.8
2005-02-01,158.8
2005-03-01,225.4
2005-04-01,81.6
2005-05-01,82.5
2005-06-01,28.3
2005-07-01,23.4
2005-08-01,15.0
2005-09-01,79.6
2005-10-01,131.2
2005-11-01,206.6
2005-12-01,262.4
2006-01-01,199.2
2006-02-01,236.2
2006-03-01,224.9
2006-04-01,104.4
2006-05-01,36.2
2006-06-01,15.2
2006-07-01,20.4
2006-08-01,21.5
2006-09-01,77.2
2006-10-01,155.5
2006-11-01,204.5
2006-12-01,309.4
2007-01-01,368.5
2007-02-01,210.1
2007-03-01,113.3
2007-04-01,77.2
2007-05-01,43.5
2007-06-01,7.9
2007-07-01,63.2
2007-08-01,2.7
2007-09-01,14.3
2007-10-01,96.7
2007-11-01,162.2
2007-12-01,192.5
2008-01-01,267.3
2008-02-01,216.4
2008-03-01,211.1
2008-04-01,138.2
2008-05-01,42.3
2008-06-01,23.2
2008-07-01,4.4
2008-08-01,39.8
2008-09-01,47.6
2008-10-01,97.9
2008-11-01,168.3
2008-12-01,244.1
2009-01-01,260.0
2009-02-01,184.0
2009-03-01,172.5
2009-04-01,90.4
2009-05-01,49.2
2009-06-01,43.0
2009-07-01,48.6
2009-08-01,49.3
2009-09-01,110.2
2009-10-01,180.3
2009-11-01,180.7
2009-12-01,289.6
2010-01-01,249.4
2010-02-01,135.3
2010-03-01,194.4
2010-04-01,84.4
2010-05-01,35.3
2010-06-01,13.9
2010-07-01,23.6
2010-08-01,5.2
2010-09-01,57.7
2010-10-01,116.6
2010-11-01,200.3
2010-12-01,262.1
2011-01-01,257.9
2011-02-01,161.4
2011-03-01,296.5
2011-04-01,112.6
2011-05-01,17.2
2011-06-01,27.3
2011-07-01,11.9
2011-08-01,20.2
2011-09-01,19.0
2011-10-01,163.9
2011-11-01,159.7
2011-12-01,234.2
2012-01-01,288.9
2012-02-01,122.8
2012-03-01,135.9
2012-04-01,91.8
2012-05-01,65.0
2012-06-01,90.7
2012-07-01,20.7
2012-08-01,7.7
2012-09-01,57.0
2012-10-01,74.5
2012-11-01,190.3
2012-12-01,179.4
2013-01-01,247.7
2013-02-01,180.9
2013-03-01,208.0
2013-04-01,109.7
2013-05-01,70.0
2013-06-01,56.8
2013-07-01,26.4
2013-08-01,6.7
2013-09-01,61.6
2013-10-01,125.5
2013-11-01,159.3
2013-12-01,270.7
2014-01-01,145.6
2014-02-01,132.6
2014-03-01,178.8
2014-04-01,111.4
2014-05-01,45.1
2014-06-01,20.9
2014-07-01,56.7
2014-08-01,12.5
2014-09-01,71.8
2014-10-01,68.7
2014-11-01,204.8
2014-12-01,219.8
2015-01-01,133.6
2015-02-01,225.7
2015-03-01,211.6
2015-04-01,96.2
2015-05-01,88.4
2015-06-01,26.4
2015-07-01,47.5
2015-08-01,14.5
2015-09-01,88.2
2015-10-01,95.4
2015-11-01,219.9
2015-12-01,210.5
2016-01-01,324.8
2016-02-01,160.8
2016-03-01,182.0
2016-04-01,39.2
2016-05-01,61.1
2016-06-01,60.2
2016-07-01,4.3
2016-08-01,43.6
2016-09-01,45.8
2016-10-01,114.9
2016-11-01,205.1
2016-12-01,216.2
2017-01-01,240.3
2017-02-01,161.2
2017-03-01,155.1
2017-04-01,98.1
2017-05-01,100.7
2017-06-01,34.4
2017-07-01,3.8
2017-08-01,29.2
2017-09-01,17.2
2017-10-01,114.9
2017-11-01,229.3
2017-12-01,226.3
2018-01-01,237.6
2018-02-01,206.9
2018-03-01,167.9
