data,var_y
2001-01-01,49695.3
2001-02-01,51889.1
2001-03-01,52682.6
2001-04-01,41239.3
2001-05-01,31436.4
2001-06-01,26503.2
2001-07-01,20893.5
2001-08-01,17026.2
2001-09-01,17285.0
2001-10-01,24110.5
2001-11-01,30139.7
2001-12-01,47463.7
2002-01-01,73753.5
2002-02-01,81910.9
2002-03-01,62305.7
2002-04-01,42189.7
2002-05-01,36537.7
2002-06-01,26599.5
2002-07-01,21464.6
2002-08-01,18587.0
2002-09-01,19259.9
2002-10-01,15421.6
2002-11-01,25954.1
2002-12-01,40548.3
2003-01-01,68568.6
2003-02-01,73208.3
2003-03-01,61395.1
2003-04-01,55840.0
2003-05-01,35262.7
2003-06-01,28421.3
2003-07-01,22584.2
2003-08-01,17569.9
2003-09-01,16627.4
2003-10-01,18309.8
2003-11-01,24862.7
2003-12-01,39294.9
2004-01-01,57513.1
2004-02-01,84123.9
2004-03-01,75347.8
2004-04-01,59593.5
2004-05-01,45916.1
2004-06-01,38695.1
2004-07-01,31142.4
2004-08-01,21866.9
2004-09-01,17035.7
2004-10-01,23769.8
2004-11-01,29718.5
2004-12-01,46129.0
2005-01-01,75326.5
2005-02-01,69123.6
2005-03-01,69478.5
2005-04-01,48416.8
2005-05-01,37809.5
2005-06-01,32766.6
2005-07-01,24089.2
2005-08-01,18593.8
2005-09-01,20898.1
2005-10-01,24971.5
2005-11-01,32200.5
2005-12-01,63654.4
2006-01-01,58445.8
2006-02-01,62628.8
2006-03-01,73463.9
2006-04-01,65304.9
2006-05-01,38343.9
2006-06-01,28630.9
2006-07-01,23838.5
2006-08-01,19469.1
2006-09-01,20093.7
2006-10-01,28577.0
2006-11-01,33884.9
2006-12-01,64028.2
2007-01-01,104966.0
2007-02-01,103968.0
2007-03-01,66186.6
2007-04-01,49007.1
2007-05-01,40101.1
2007-06-01,31255.4
2007-07-01,27296.0
2007-08-01,21483.0
2007-09-01,14887.8
2007-10-01,15520.4
2007-11-01,28178.5
2007-12-01,37981.9
2008-01-01,49359.6
2008-02-01,78327.0
2008-03-01,79772.2
2008-04-01,67940.7
2008-05-01,48282.2
2008-06-01,35971.4
2008-07-01,25606.5
2008-08-01,25674.2
2008-09-01,18533.8
2008-10-01,23502.3
2008-11-01,29943.4
2008-12-01,43758.5
2009-01-01,63907.2
2009-02-01,76264.5
2009-03-01,60908.9
2009-04-01,62918.3
2009-05-01,42904.6
2009-06-01,33676.2
2009-07-01,33803.8
2009-08-01,28225.0
2009-09-01,34537.4
2009-10-01,40097.4
2009-11-01,42256.6
2009-12-01,70493.5
2010-01-01,82329.8
2010-02-01,73076.0
2010-03-01,68003.1
2010-04-01,58386.9
2010-05-01,38139.3
2010-06-01,28147.7
2010-07-01,23212.7
2010-08-01,17795.3
2010-09-01,15305.0
2010-10-01,23379.1
2010-11-01,31723.7
2010-12-01,48840.7
2011-01-01,84096.8
2011-02-01,61934.1
2011-03-01,100576.0
2011-04-01,70190.6
2011-05-01,43892.5
2011-06-01,33604.9
2011-07-01,27418.6
2011-08-01,26241.2
2011-09-01,18070.3
2011-10-01,27129.1
2011-11-01,29886.2
2011-12-01,49463.7
2012-01-01,82149.6
2012-02-01,61282.6
2012-03-01,50261.0
2012-04-01,43066.4
2012-05-01,38884.7
2012-06-01,45214.5
2012-07-01,31175.4
2012-08-01,19747.5
2012-09-01,16296.9
2012-10-01,17221.3
2012-11-01,26222.3
2012-12-01,33601.5
2013-01-01,55867.7
2013-02-01,67467.0
2013-03-01,62496.3
2013-04-01,64923.9
2013-05-01,37668.4
2013-06-01,44049.6
2013-07-01,35201.8
2013-08-01,21618.1
2013-09-01,19236.4
2013-10-01,27204.9
2013-11-01,29079.3
2013-12-01,48513.1
2014-01-01,42423.6
2014-02-01,40257.5
2014-03-01,55862.9
2014-04-01,51795.5
2014-05-01,35703.0
2014-06-01,35007.6
2014-07-01,24255.4
2014-08-01,18474.5
2014-09-01,16569.1
2014-10-01,15848.9
2014-11-01,21265.2
2014-12-01,41126.1
2015-01-01,32754.7
2015-02-01,47811.1
2015-03-01,57923.7
2015-04-01,49736.4
2015-05-01,42567.6
2015-06-01,32691.6
2015-07-01,34931.9
2015-08-01,20092.4
2015-09-01,23153.8
2015-10-01,21823.3
2015-11-01,34908.3
2015-12-01,45936.4
2016-01-01,81227.5
2016-02-01,60433.1
2016-03-01,66750.6
2016-04-01,39346.5
2016-05-01,34672.3
2016-06-01,38277.8
2016-07-01,22962.8
2016-08-01,21157.5
2016-09-01,18623.0
2016-10-01,19944.5
2016-11-01,27596.2
2016-12-01,37402.9
2017-01-01,44186.0
2017-02-01,48520.0
2017-03-01,45947.0
2017-04-01,38663.0
2017-05-01,39235.0
2017-06-01,33696.0
2017-07-01,20007.0
2017-08-01,17061.0
2017-09-01,12801.0
2017-10-01,16103.0
2017-11-01,31492.0
2017-12-01,44538.0
2018-01-01,61723.0
2018-02-01,56977.0
2018-03-01,59192.0
